,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
26,26,9/16/2020,MT,9431,5086,64,0,34,1622,0,0,96,2529,359,6289,2783,141,65,0,0,0,33,0,0,0,43,0,0,0,891529,4215,63495,6379,734,989415,0.009531895,0.005704806,0.015183867,0.005329989,0.025545319,0,0.000142508,7.29E-05,0,0,0.000519726,0
27,27,9/16/2020,NC,188024,84156,34538,0,2827,2315,291,0,22873,41024,43888,81487,62649,3149,1795,912,0,40,41,4,0,203,154,279,2524,346,6898296,2088362,147566,215952,10309,9535483,0.019718351,0.012199534,0.01653832,0.013090872,0.015687896,0.028227762,0.00033024,0.000260209,0.000436706,0.000185226,0.000277842,0.00038801
28,28,9/16/2020,ND,16333,8956,1149,0,256,878,0,269,33,4792,0,0,16333,141,0,0,0,0,0,0,0,0,141,0,0,141,609136,8248,36948,7032,334,672591,0.024283703,0.014702792,0.139306499,0.036405006,0.023763127,0,0.000209637,0,0,0,0,0
29,29,9/16/2020,NE,39419,24900,2200,0,1500,391,64,0,1900,8464,11600,18100,9719,439,342,31,0,18,11,0,0,12,25,88,297,54,1649264,85971,23418,33322,2061,1826341,0.021583593,0.015097644,0.025590025,0.045015305,0.016696558,0.031052887,0.000240371,0.000207365,0.000360587,0.000540184,0.000469724,0
30,30,9/16/2020,NH,7780,5064,372,971,215,0,0,0,250,908,971,5901,908,438,401,9,12,4,0,0,0,1,11,12,415,11,1248321,16365,3530,28933,532,1316470,0.005909743,0.004056649,0.022731439,0.007430961,0,0,0.000332708,0.000321231,0.000549954,0.00013825,0,0
31,31,9/16/2020,NJ,197792,47270,20768,38128,6464,0,0,0,14575,70587,38128,89077,70587,16054,8578,2846,3180,872,0,0,0,298,280,3180,12594,280,6546498,1282005,49907,746212,7731,8791894,0.022497087,0.007220654,0.016199625,0.008662418,0,0,0.001826,0.001310319,0.00221996,0.001168569,0,0
32,32,9/16/2020,NM,27041,3931,484,12173,173,8315,0,0,0,1965,12173,12903,1965,832,173,7,159,2,404,0,0,0,87,159,586,87,1720992,49006,208890,31253,3132,2059179,0.013131933,0.002284148,0.009876342,0.005535469,0.039805639,0,0.000404045,0.000100523,0.00014284,6.40E-05,0.001934032,0
33,33,9/16/2020,NV,74248,15323,4659,24422,4159,288,0,0,6000,19397,24422,30429,19397,1494,494,114,223,116,8,0,0,10,529,223,742,529,2106494,231224,42965,203478,19307,2700551,0.027493649,0.007274172,0.020149292,0.020439556,0.00670313,0,0.00055322,0.000234513,0.000493028,0.000570086,0.000186198,0
34,34,9/16/2020,NY,446366,0,0,0,0,0,0,0,0,446366,0,0,0,28669,8790,6449,6788,1716,0,0,0,1843,3083,6788,18798,3083,13901661,3378047,183046,1481555,24000,19378102,0.023034557,0,0,0,0,0,0.001479453,0.000632299,0.001909091,0.001158243,0,0
35,35,9/16/2020,OH,140518,77635,29216,0,3568,177,188,4289,9200,16245,8633,100748,31137,4555,3518,835,0,46,3,2,62,31,58,100,4359,96,9664524,1426861,29674,196693,5336,11536504,0.012180293,0.008032987,0.020475716,0.018139944,0.005964818,0.035232384,0.000394834,0.000364012,0.000585201,0.000233867,0.000101099,0.000374813
36,36,9/16/2020,OK,72284,40613,5062,0,2551,7014,0,0,2843,14201,12356,39762,20166,924,668,57,0,21,91,0,0,29,58,61,714,149,2851510,284332,335664,67126,5354,3751351,0.019268791,0.014242629,0.017803132,0.038003158,0.020895896,0,0.000246311,0.000234262,0.00020047,0.000312845,0.000271104,0
37,37,9/16/2020,OR,29850,12169,1016,0,878,754,557,545,10381,3550,11884,14559,3407,521,344,12,0,19,12,7,8,55,64,70,362,89,3403252,74414,66784,145009,14649,3831074,0.007791549,0.003575698,0.013653345,0.006054797,0.011290129,0.038023073,0.000135993,0.00010108,0.00016126,0.000131026,0.000179684,0.000477848
38,38,9/16/2020,PA,146990,54174,19528,0,2403,0,0,0,2985,67900,12193,36958,97839,7903,5664,1634,0,165,0,0,0,374,66,464,7373,66,10663774,1431826,39735,358195,7115,12702379,0.011571848,0.00508019,0.013638529,0.006708636,0,0,0.000622167,0.000531144,0.0011412,0.000460643,0,0
39,39,9/16/2020,RI,23358,6549,2187,7983,353,70,0,150,301,5765,7983,9610,5765,1081,711,54,102,13,1,0,1,0,199,102,780,199,910253,75073,9173,31768,1602,1052567,0.022191461,0.007194703,0.029131645,0.011111811,0.007631091,0,0.001027013,0.000781102,0.0007193,0.000409217,0.000109016,0
40,40,9/16/2020,SC,134122,50053,35419,0,1266,0,0,0,8851,38533,10722,68285,55115,3132,1492,1097,0,22,0,0,0,80,441,98,2261,773,3164143,1302865,24665,61247,3957,4625364,0.028997069,0.015818817,0.027185472,0.0206704,0,0,0.000677136,0.000471534,0.000841991,0.000359201,0,0
41,41,9/16/2020,SD,17291,10045,1211,1474,770,2119,0,0,1672,0,1474,15817,0,192,120,2,6,5,42,0,0,17,0,6,186,0,706690,10533,72782,7775,517,814180,0.021237319,0.014214153,0.114971993,0.09903537,0.029114341,0,0.00023582,0.000169806,0.000189879,0.000643087,0.000577066,0
42,42,9/16/2020,TN,177087,93765,33154,0,1592,237,134,0,22613,25592,24293,115632,37162,2151,1408,599,0,20,4,2,0,99,19,138,2001,12,5056311,1068010,26256,93897,5426,6346105,0.027904833,0.018544152,0.03104278,0.016954748,0.009026508,0.024695909,0.000338948,0.000278464,0.000560856,0.000212999,0.000152346,0.000368596
43,43,9/16/2020,TX,674772,14872,8297,20251,778,0,0,0,231,630343,20251,24178,630343,14478,4373,1643,8096,279,0,0,0,80,7,8096,6375,7,20389793,3070440,251209,1000473,31242,25145561,0.026834637,0.000729385,0.002702219,0.000777632,0,0,0.000575768,0.00021447,0.000535102,0.000278868,0,0
44,44,9/16/2020,UT,59747,26905,1290,20483,1381,1160,2401,0,6734,6222,20483,33042,6222,437,227,7,97,23,34,24,0,35,22,97,318,22,2547329,33864,40729,57800,26049,2763885,0.021617035,0.010562044,0.038093551,0.023892734,0.028480935,0.092172444,0.000158111,8.91E-05,0.000206709,0.000397924,0.000834786,0.000921341
